Column 1,Column 2,% in Intersection
Radius (mean),Texture (mean),72.55
Radius (mean),Perimeter (mean),0.0
Radius (mean),Area (mean),0.0
Radius (mean),Smoothness (mean),0.0
Radius (mean),Compactness (mean),0.0
Radius (mean),Concavity (mean),0.0
Radius (mean),Concave points (mean),0.0
Radius (mean),Symmetry (mean),0.0
Radius (mean),Fractal dimension (mean),0.0
Radius (mean),Radius (se),0.0
Radius (mean),Texture (se),0.0
Radius (mean),Perimeter (se),0.0
Radius (mean),Area (se),69.47
Radius (mean),Smoothness (se),0.0
Radius (mean),Compactness (se),0.0
Radius (mean),Concavity (se),0.0
Radius (mean),Concave points (se),0.0
Radius (mean),Symmetry (se),0.0
Radius (mean),Fractal dimension (se),0.0
Radius (mean),Radius (worst),99.02
Radius (mean),Texture (worst),34.73
Radius (mean),Perimeter (worst),0.0
Radius (mean),Area (worst),0.0
Radius (mean),Smoothness (worst),0.0
Radius (mean),Compactness (worst),0.0
Radius (mean),Concavity (worst),0.0
Radius (mean),Concave points (worst),0.0
Radius (mean),Symmetry (worst),0.0
Radius (mean),Fractal dimension (worst),0.0
Texture (mean),Perimeter (mean),0.0
Texture (mean),Area (mean),0.0
Texture (mean),Smoothness (mean),0.0
Texture (mean),Compactness (mean),0.0
Texture (mean),Concavity (mean),0.0
Texture (mean),Concave points (mean),0.0
Texture (mean),Symmetry (mean),0.0
Texture (mean),Fractal dimension (mean),0.0
Texture (mean),Radius (se),0.0
Texture (mean),Texture (se),0.0
Texture (mean),Perimeter (se),0.0
Texture (mean),Area (se),93.98
Texture (mean),Smoothness (se),0.0
Texture (mean),Compactness (se),0.0
Texture (mean),Concavity (se),0.0
Texture (mean),Concave points (se),0.0
Texture (mean),Symmetry (se),0.0
Texture (mean),Fractal dimension (se),0.0
Texture (mean),Radius (worst),85.57
Texture (mean),Texture (worst),96.22
Texture (mean),Perimeter (worst),0.0
Texture (mean),Area (worst),0.0
Texture (mean),Smoothness (worst),0.0
Texture (mean),Compactness (worst),0.0
Texture (mean),Concavity (worst),0.0
Texture (mean),Concave points (worst),0.0
Texture (mean),Symmetry (worst),0.0
Texture (mean),Fractal dimension (worst),0.0
Perimeter (mean),Area (mean),0.0
Perimeter (mean),Smoothness (mean),0.0
Perimeter (mean),Compactness (mean),0.0
Perimeter (mean),Concavity (mean),0.0
Perimeter (mean),Concave points (mean),0.0
Perimeter (mean),Symmetry (mean),0.0
Perimeter (mean),Fractal dimension (mean),0.0
Perimeter (mean),Radius (se),0.0
Perimeter (mean),Texture (se),0.0
Perimeter (mean),Perimeter (se),0.0
Perimeter (mean),Area (se),24.37
Perimeter (mean),Smoothness (se),0.0
Perimeter (mean),Compactness (se),0.0
Perimeter (mean),Concavity (se),0.0
Perimeter (mean),Concave points (se),0.0
Perimeter (mean),Symmetry (se),0.0
Perimeter (mean),Fractal dimension (se),0.0
Perimeter (mean),Radius (worst),0.0
Perimeter (mean),Texture (worst),0.0
Perimeter (mean),Perimeter (worst),98.74
Perimeter (mean),Area (worst),0.0
Perimeter (mean),Smoothness (worst),0.0
Perimeter (mean),Compactness (worst),0.0
Perimeter (mean),Concavity (worst),0.0
Perimeter (mean),Concave points (worst),0.0
Perimeter (mean),Symmetry (worst),0.0
Perimeter (mean),Fractal dimension (worst),0.0
Area (mean),Smoothness (mean),0.0
Area (mean),Compactness (mean),0.0
Area (mean),Concavity (mean),0.0
Area (mean),Concave points (mean),0.0
Area (mean),Symmetry (mean),0.0
Area (mean),Fractal dimension (mean),0.0
Area (mean),Radius (se),0.0
Area (mean),Texture (se),0.0
Area (mean),Perimeter (se),0.0
Area (mean),Area (se),0.0
Area (mean),Smoothness (se),0.0
Area (mean),Compactness (se),0.0
Area (mean),Concavity (se),0.0
Area (mean),Concave points (se),0.0
Area (mean),Symmetry (se),0.0
Area (mean),Fractal dimension (se),0.0
Area (mean),Radius (worst),0.0
Area (mean),Texture (worst),0.0
Area (mean),Perimeter (worst),0.0
Area (mean),Area (worst),99.02
Area (mean),Smoothness (worst),0.0
Area (mean),Compactness (worst),0.0
Area (mean),Concavity (worst),0.0
Area (mean),Concave points (worst),0.0
Area (mean),Symmetry (worst),0.0
Area (mean),Fractal dimension (worst),0.0
Smoothness (mean),Compactness (mean),88.24
Smoothness (mean),Concavity (mean),65.13
Smoothness (mean),Concave points (mean),20.31
Smoothness (mean),Symmetry (mean),25.07
Smoothness (mean),Fractal dimension (mean),79.69
Smoothness (mean),Radius (se),8.4
Smoothness (mean),Texture (se),0.0
Smoothness (mean),Perimeter (se),0.0
Smoothness (mean),Area (se),0.0
Smoothness (mean),Smoothness (se),0.0
Smoothness (mean),Compactness (se),45.1
Smoothness (mean),Concavity (se),54.06
Smoothness (mean),Concave points (se),0.28
Smoothness (mean),Symmetry (se),0.28
Smoothness (mean),Fractal dimension (se),0.0
Smoothness (mean),Radius (worst),0.0
Smoothness (mean),Texture (worst),0.0
Smoothness (mean),Perimeter (worst),0.0
Smoothness (mean),Area (worst),0.0
Smoothness (mean),Smoothness (worst),96.36
Smoothness (mean),Compactness (worst),71.57
Smoothness (mean),Concavity (worst),70.31
Smoothness (mean),Concave points (worst),86.83
Smoothness (mean),Symmetry (worst),0.28
Smoothness (mean),Fractal dimension (worst),99.72
Compactness (mean),Concavity (mean),88.24
Compactness (mean),Concave points (mean),64.29
Compactness (mean),Symmetry (mean),58.68
Compactness (mean),Fractal dimension (mean),77.45
Compactness (mean),Radius (se),24.93
Compactness (mean),Texture (se),0.0
Compactness (mean),Perimeter (se),0.0
Compactness (mean),Area (se),0.0
Compactness (mean),Smoothness (se),0.42
Compactness (mean),Compactness (se),59.38
Compactness (mean),Concavity (se),73.39
Compactness (mean),Concave points (se),13.17
Compactness (mean),Symmetry (se),40.9
Compactness (mean),Fractal dimension (se),0.98
Compactness (mean),Radius (worst),0.0
Compactness (mean),Texture (worst),0.0
Compactness (mean),Perimeter (worst),0.0
Compactness (mean),Area (worst),0.0
Compactness (mean),Smoothness (worst),77.03
Compactness (mean),Compactness (worst),85.99
Compactness (mean),Concavity (worst),83.47
Compactness (mean),Concave points (worst),96.08
Compactness (mean),Symmetry (worst),7.56
Compactness (mean),Fractal dimension (worst),85.57
Concavity (mean),Concave points (mean),93.84
Concavity (mean),Symmetry (mean),52.52
Concavity (mean),Fractal dimension (mean),61.48
Concavity (mean),Radius (se),47.06
Concavity (mean),Texture (se),0.84
Concavity (mean),Perimeter (se),0.0
Concavity (mean),Area (se),0.0
Concavity (mean),Smoothness (se),60.5
Concavity (mean),Compactness (se),93.98
Concavity (mean),Concavity (se),99.86
Concavity (mean),Concave points (se),84.31
Concavity (mean),Symmetry (se),81.93
Concavity (mean),Fractal dimension (se),68.07
Concavity (mean),Radius (worst),0.0
Concavity (mean),Texture (worst),0.0
Concavity (mean),Perimeter (worst),0.0
Concavity (mean),Area (worst),0.0
Concavity (mean),Smoothness (worst),57.98
Concavity (mean),Compactness (worst),80.39
Concavity (mean),Concavity (worst),98.04
Concavity (mean),Concave points (worst),99.3
Concavity (mean),Symmetry (worst),50.42
Concavity (mean),Fractal dimension (worst),63.45
Concave points (mean),Symmetry (mean),0.0
Concave points (mean),Fractal dimension (mean),53.22
Concave points (mean),Radius (se),0.0
Concave points (mean),Texture (se),0.0
Concave points (mean),Perimeter (se),0.0
Concave points (mean),Area (se),0.0
Concave points (mean),Smoothness (se),70.59
Concave points (mean),Compactness (se),97.34
Concave points (mean),Concavity (se),98.32
Concave points (mean),Concave points (se),96.36
Concave points (mean),Symmetry (se),91.46
Concave points (mean),Fractal dimension (se),82.91
Concave points (mean),Radius (worst),0.0
Concave points (mean),Texture (worst),0.0
Concave points (mean),Perimeter (worst),0.0
Concave points (mean),Area (worst),0.0
Concave points (mean),Smoothness (worst),1.12
Concave points (mean),Compactness (worst),26.33
Concave points (mean),Concavity (worst),64.29
Concave points (mean),Concave points (worst),82.63
Concave points (mean),Symmetry (worst),0.0
Concave points (mean),Fractal dimension (worst),40.62
Symmetry (mean),Fractal dimension (mean),0.0
Symmetry (mean),Radius (se),77.87
Symmetry (mean),Texture (se),0.0
Symmetry (mean),Perimeter (se),0.0
Symmetry (mean),Area (se),0.0
Symmetry (mean),Smoothness (se),0.0
Symmetry (mean),Compactness (se),0.28
Symmetry (mean),Concavity (se),50.56
Symmetry (mean),Concave points (se),0.0
